Project, Dependency, ProjName, DepName
2563637,3368207,Syncfusion.Xamarin.SfBarCode.IOS,Syncfusion.Licensing
3391616,3391606,AnyCache.Serialization,AnyCache.Core
2523242,2523244,Microsoft.VisualStudio.VsInteractiveWindow,Microsoft.VisualStudio.InteractiveWindow
622528,626787,ArcGIS.PCL.XamarinMaps,ArcGIS.PCL.JsonDotNetSerializer
1032818,1014925,paper-elements,paper-dialog
2605163,2605149,Umbrella.DataAccess.MultiTenant.EF6,Umbrella.DataAccess.MultiTenant
622457,628980,ABB.SrcML.Data.Core,ABB.SrcML.Core
2563636,3368207,Syncfusion.Xamarin.SfTreeMap.IOS,Syncfusion.Licensing
1032196,1034200,Maxomedia.Core.Mvc,Maxomedia.Core.Localization
2605163,2605152,Umbrella.DataAccess.MultiTenant.EF6,Umbrella.DataAccess.EF6
2573036,2552509,CDorst.DevOps.Primitives.NuGet,CDorst.DevOps.Primitives.Strings
1835232,1830689,Qin.Framework.Mvc,Qin.Framework.WebApiClient
2211952,2211951,GenericMvc.Repositories,GenericMvc.Models
2563635,3368207,Syncfusion.Xamarin.SfTreeMap.Android,Syncfusion.Licensing
2605161,2605169,Umbrella.FileSystem.AzureStorage,Umbrella.FileSystem.Abstractions
1032456,1026097,Naif.Data.NPoco,Naif.Core
1605798,1603248,NequeoWpf,NequeoHandler
623136,607986,IKVM.OpenJDK.Corba,IKVM.OpenJDK.Util
623130,608178,Appccelerate.DistributedEventBroker.NServiceBus,Appccelerate.EventBroker
2563634,3368207,Syncfusion.Xamarin.SfBarcode,Syncfusion.Licensing
2605161,2605137,Umbrella.FileSystem.AzureStorage,Umbrella.Utilities
2523241,2523243,PetProjects.Framework.Logging.Producer,PetProjects.Framework.Logging.Contracts
2408565,2408561,JetBrains.Rider.SDK.Tests,JetBrains.Rider.SDK
2211954,2211951,GenericMvc.Auth,GenericMvc.Models
2563649,3368207,Syncfusion.Xamarin.SfNumericTextBox,Syncfusion.Licensing
2311107,1235422,Skybrud.Social.Meetup,Skybrud.Social.Core
2211953,2211951,GenericMvc.Clients,GenericMvc.Models
2605174,2605162,Umbrella.DynamicImage.FreeImage,Umbrella.DynamicImage.Abstractions
1016131,1008772,MediatR.Extensions.Autofac,MediatR.Extensions
2417785,1598493,iridium.script,iridium.core
2211955,2211951,GenericMvc.Api,GenericMvc.Models
2211955,2211952,GenericMvc.Api,GenericMvc.Repositories
2605173,2605159,Umbrella.AspNetCore.DynamicImage,Umbrella.AspNetCore.WebUtilities
1518953,624877,LightInject.Microsoft.DependencyInjection.Source,LightInject.Source
2575315,1957906,Microsoft.Azure.Devices.Provisioning.Service,Microsoft.Azure.Devices.Shared
2563645,3368207,Syncfusion.Xamarin.Pdf,Syncfusion.Licensing
2408561,2408560,JetBrains.Rider.SDK,JetBrains.ReSharperAutomationTools.src.RiderSdk.Internal
1015424,1030651,Enexure.MicroBus.InfrastructureContracts,Enexure.MicroBus.MessageContracts
1286458,1016542,System.Waf.Uwp,System.Resources.ResourceManager
