numVersA,numVersB,numDistinctDepDecs,avgMajorVersBehind,avgMinorVersBehind,avgMicroVersBehind,numMajorDecChanges,numMinorDecChanges,numMicroDecChanges,numBackwardsDecChanges,
org.grails:grails-web-jsp::org.codehaus.groovy:groovy-all,67,150,8,0,0.25,0.5,0,4,4,4
com.hazelcast:hazelcast::com.fasterxml.jackson.core:jackson-databind,152,110,1,0,2,0,0,0,0,0
org.apereo.cas:cas-server-core-api-logout::org.springframework:spring-context,58,74,11,0,0,0.69697,0,0,24,11
org.grails:grails-core::org.springframework:spring-context-support,116,84,5,0.1,0,0.1,0,0,6,5
org.gerweck.scala:gerweck-utils_2.11::org.codehaus.groovy:groovy-all,63,150,8,0.225,0.625,0.325,0,0,20,12
au.com.dius:pact-jvm-provider-specs2_2.10::org.mockito:mockito-core,67,258,2,1,0.774194,0,0,11,0,6
org.specs2:specs2-analysis_2.11::org.scala-lang:scala-compiler,232,76,9,0,0.847534,0.264574,0,0,159,73
org.apereo.cas:cas-server-core-webflow::org.springframework.data:spring-data-commons,58,69,9,0.428571,0.244898,3.632653,0,22,15,18
com.spotify:docker-client::com.sun.jersey.contribs:jersey-apache-client4,145,52,1,0,0,0,0,0,0,0
org.skinny-framework:skinny-orm_2.10::org.scalikejdbc:scalikejdbc-syntax-support-macro_2.10,139,51,26,0.138462,0.015385,0,6,13,20,16
net.sf.jasperreports:jasperreports::org.springframework:spring-core,51,83,2,0.877551,0,5.387755,8,0,0,4
org.webpieces:http1_1-parser::org.codehaus.groovy:groovy-all,61,150,1,0.278689,1.016393,5.377049,0,0,0,0
org.apache.camel.tests:org.apache.camel.tests.mock-javamail_1.7::com.sun.xml.bind:jaxb-impl,91,51,2,0,0,0.243243,0,0,5,2
com.netflix.genie:genie-common::com.fasterxml.jackson.datatype:jackson-datatype-jsr310,94,53,2,0,1,0.142857,0,0,5,2
org.grails:grails-web-gsp-taglib::org.codehaus.groovy:groovy,62,163,8,0.02,0.1,0.3,0,0,33,15
org.apereo.cas:cas-server-support-saml::com.github.fakemongo:fongo,58,51,9,0,0.5625,0.979167,0,29,9,18
org.realityforge.replicant:replicant-client-common::org.eclipse.jetty:jetty-http,53,231,1,0,2,8.9,0,0,0,0
ai.h2o:sparkling-water-repl_2.11::ai.h2o:h2o-scala_2.11,62,70,17,0,0.27027,0.081081,0,10,25,17
org.pustefixframework.webservices:pustefix-webservices-core::org.springframework:spring-test,179,61,3,0,0.390625,4.78125,0,7,0,4
au.com.dius:pact-jvm-server_2.11::org.specs2:specs2_2.11,107,62,1,0.604651,0.976744,0,0,0,0,0
org.realityforge.arez:arez-browser-extras::org.eclipse.jetty:jetty-io,50,235,1,0,2,8.725,0,0,0,0
org.apereo.cas:cas-server-support-oidc-core::org.mockito:mockito-core,56,258,12,0.314815,2,0.018519,16,22,1,19
org.datanucleus:datanucleus-accessplatform-jpa-rdbms::org.datanucleus:datanucleus-api-jpa,95,113,24,0.44186,0.186047,0,14,8,17,20
org.javers:javers-spring::org.springframework.data:spring-data-jpa,177,77,2,0.066667,0.866667,0.133333,0,2,0,1
org.efaps:efaps-kernel::org.eclipse.jetty:jetty-server,57,231,1,1,1,0,0,0,0,0
com.netflix.governator:governator-test-junit::com.fasterxml.jackson.core:jackson-databind,80,110,1,0,2.111111,3,0,0,0,0
org.apereo.cas:cas-server-support-validation::com.zaxxer:HikariCP,57,54,13,0.132075,0.245283,0.90566,13,23,4,18
com.sksamuel.scruffy:scruffy-client_2.11::org.http4s:http4s-core_2.11,89,161,1,0,0,0,0,0,0,0
org.elasticsearch:elasticsearch-mapper-attachments::org.apache.poi:poi,76,51,1,0,1,0,0,0,0,0
org.apereo.cas:cas-server-core-api::com.fasterxml.jackson.core:jackson-databind,58,110,10,0,0.352941,1.764706,0,11,9,10
org.apereo.cas:cas-server-support-ldap-core::org.hibernate:hibernate-core,58,171,7,0,0.5,1.0625,0,0,22,11
org.webpieces:core-asyncserver::org.codehaus.groovy:groovy-all,84,150,1,0.3,0.9375,4.95,0,0,0,0
org.apache.servicemix.bundles:org.apache.servicemix.bundles.aws-java-sdk::com.amazonaws:aws-java-sdk-dynamodb,85,107,27,0,0,2.777778,0,4,22,9
org.grails:grails-datastore-gorm::org.grails:grails-spring,107,143,10,0.035714,1.160714,1.982143,6,11,31,25
net.serenity-bdd:serenity-browsermob-plugin::net.bytebuddy:byte-buddy,126,150,1,0,0.294118,1.235294,0,0,0,0
org.skinny-framework:skinny-factory-girl_2.11::org.scalikejdbc:scalikejdbc-test_2.11,94,61,32,0.1,0.011111,0,14,37,18,33
org.http4s:http4s-json4s-native_2.10::org.specs2:specs2-scalacheck_2.10,117,163,7,0,0.264368,1.413793,0,22,22,22
com.scireum:sirius-web::org.apache.poi:poi,115,51,1,0,6.697248,0,0,0,0,0
org.apereo.cas:cas-server-core-api-authentication::com.fasterxml.jackson.core:jackson-databind,58,110,12,0,0.325,1.6,0,15,11,15
